Player,Tm,Pos,USG%,3PAr,TOV%,BLK%,TRB%,STL%,FGA,FTA,PTS,PCT_FG_3P,CORNER_PCT_3PA,PCT_AST_2P,PCT_AST_3P,PCT_FG_0-3,DUNK_%FGA,Similarity
Brandon Boston Jr.,LAC,SF,26.5,0.238,8.0,0.0,6.8,1.8,24.1,7.5,28.2,0.238,0.172,0.538,0.583,0.238,0.09,0.11588957248143848
Johnny Davis,WAS,SG,20.5,0.409,8.5,1.6,8.5,1.2,19.7,3.1,18.8,0.409,0.271,0.633,1.0,0.14,0.012,0.11292431275152988
Delon Wright,WAS,PG,12.9,0.409,12.2,1.2,8.2,3.7,11.6,2.4,14.7,0.409,0.244,0.268,0.854,0.196,0.014,0.10719886913296092
Lonnie Walker IV,LAL,SG,20.2,0.472,7.4,1.1,4.5,1.1,19.3,3.9,23.9,0.472,0.273,0.572,0.923,0.195,0.055,0.10371352556908969
Kris Dunn,UTA,PG,20.2,0.167,12.8,1.5,9.5,2.1,18.2,4.5,24.4,0.167,0.139,0.162,0.824,0.139,0.023,0.09166601372931128
Quentin Grimes,NYK,SG,14.4,0.676,9.7,1.2,5.9,1.1,14.0,2.3,18.6,0.676,0.327,0.776,0.994,0.248,0.043,0.08063742754261059
Keegan Murray,SAC,SF,15.8,0.641,6.8,1.5,8.9,1.2,15.7,1.6,19.6,0.641,0.285,0.709,0.976,0.18,0.058,0.07658687468345829
Saddiq Bey,ATL,SF,20.2,0.5,7.0,0.5,9.4,1.6,18.9,5.4,24.1,0.5,0.356,0.381,0.914,0.22,0.037,0.06275559109467706
Nassir Little,POR,SF,16.0,0.521,10.0,1.8,8.3,1.0,15.1,2.3,17.9,0.521,0.139,0.592,0.948,0.191,0.053,0.060487547839815414
Frank Ntilikina,DAL,SG,13.1,0.508,16.5,1.0,5.9,1.3,10.8,2.7,11.1,0.508,0.343,0.581,0.941,0.144,0.0,0.05744560098872032
Bennedict Mathurin,IND,SG,24.6,0.326,11.7,0.5,7.9,1.0,20.3,9.7,27.8,0.326,0.197,0.601,0.74,0.292,0.035,0.047463394201509065
Vit Krejci,ATL,PG,10.9,0.568,11.7,0.5,8.6,1.4,10.7,0.6,10.4,0.568,0.19,0.6,0.6,0.297,0.054,0.02597040743118659
Damion Lee,PHO,SG,16.3,0.546,13.5,0.4,8.3,1.0,14.7,3.4,19.6,0.546,0.393,0.7,0.991,0.122,0.004,0.02395702820711064
Franz Wagner,ORL,SF,23.5,0.322,11.7,0.6,7.1,1.4,20.7,6.0,27.5,0.322,0.172,0.464,0.8,0.27,0.03,0.01719531268241175
Ish Wainright,PHO,SF,12.2,0.762,8.4,2.2,8.4,2.0,12.1,1.7,13.4,0.762,0.514,0.519,0.982,0.15,0.026,0.01214541739270892
Russell Westbrook,LAC,PG,27.7,0.289,18.4,1.3,10.8,1.7,22.3,7.1,26.1,0.289,0.227,0.23,0.663,0.305,0.023,0.0023817830129631264
Andrew Nembhard,IND,SG,16.1,0.408,15.8,0.5,5.3,1.6,14.7,1.4,16.2,0.408,0.266,0.406,0.913,0.172,0.002,0.002288073703000276
Davon Reed,,SG,14.5,0.548,17.5,1.0,9.9,2.1,12.0,3.4,12.7,0.548,0.304,0.455,0.941,0.095,0.024,-9.82056637511507e-05
Jordan McLaughlin,MIN,PG,11.7,0.538,17.7,0.5,5.1,2.2,10.2,1.3,11.3,0.538,0.295,0.73,0.833,0.166,0.0,-0.005811046063003203
Norman Powell,LAC,SG,26.0,0.404,10.8,1.0,6.3,1.6,22.2,8.7,31.9,0.404,0.317,0.527,0.877,0.241,0.025,-0.010965757769918514
PJ Dozier,SAC,SF,20.6,0.485,13.2,1.1,10.1,3.6,20.0,0.0,13.3,0.485,0.313,0.375,1.0,0.152,0.0,-0.01459887896264792
Joshua Primo,SAS,SG,18.2,0.462,26.9,1.8,7.6,0.5,13.2,4.6,14.2,0.462,0.25,0.333,0.667,0.038,0.077,-0.02284940099548693
Vince Williams Jr.,MEM,SG,18.1,0.7,10.9,1.7,7.6,2.7,18.1,0.9,13.6,0.7,0.393,0.75,1.0,0.25,0.0,-0.036329476596274037
Collin Sexton,UTA,PG,23.4,0.261,13.3,0.4,5.0,1.1,19.5,8.3,28.6,0.261,0.205,0.328,0.729,0.256,0.021,-0.03856144764081191
Caris LeVert,CLE,SG,18.7,0.437,12.4,1.0,7.4,1.6,16.6,4.0,20.1,0.437,0.231,0.373,0.709,0.239,0.043,-0.043589514355876886
Garrett Temple,NOP,SG,13.4,0.578,7.9,1.2,5.9,2.7,13.5,1.2,15.0,0.578,0.231,0.429,1.0,0.311,0.0,-0.04547984787690441
Tyler Dorsey,DAL,SF,28.3,0.4,0.0,0.0,14.5,0.0,31.1,0.0,55.9,0.4,0.5,0.667,1.0,0.0,0.0,-0.05011820111315586
Keldon Johnson,SAS,SF,27.9,0.366,9.6,0.4,8.4,1.1,25.5,7.5,31.7,0.366,0.226,0.509,0.903,0.27,0.022,-0.05446210072974112
Rodney McGruder,DET,SG,14.0,0.638,6.4,0.2,7.8,1.5,14.1,2.0,16.9,0.638,0.443,0.667,0.951,0.125,0.007,-0.06551998508614888
Jordan Hall,SAS,SF,19.4,0.536,18.0,0.0,7.9,0.6,15.9,5.1,15.9,0.536,0.267,0.5,1.0,0.143,0.036,-0.0721365704118497
Chuma Okeke,ORL,SF,12.3,0.705,11.5,2.1,10.5,1.8,11.4,2.0,11.9,0.705,0.198,0.588,0.923,0.164,0.049,-0.08122378118771753
Aaron Holiday,ATL,PG,13.4,0.4,13.3,1.2,4.8,2.1,12.4,1.8,13.9,0.4,0.17,0.214,0.861,0.223,0.0,-0.08156196044210855
Julian Champagnie,SAS,SF,19.2,0.631,7.4,1.3,10.2,0.9,19.2,2.5,24.4,0.631,0.256,0.846,1.0,0.169,0.031,-0.0852440355165414
Otto Porter Jr.,TOR,SF,11.0,0.567,10.7,0.0,7.4,3.7,10.2,2.7,14.9,0.567,0.235,0.556,1.0,0.133,0.0,-0.09098454732859049
Brandon Ingram,NOP,SF,30.8,0.196,13.4,1.2,9.1,1.0,26.3,8.6,35.0,0.196,0.073,0.385,0.813,0.143,0.034,-0.09205501300787966
Michael Porter Jr.,DEN,SF,22.7,0.556,7.3,1.4,10.9,1.0,22.2,3.3,29.4,0.556,0.187,0.767,0.926,0.168,0.053,-0.09214103513038556
Talen Horton-Tucker,UTA,SG,25.9,0.331,15.5,1.9,8.6,1.5,22.3,6.1,25.4,0.331,0.148,0.206,0.776,0.232,0.038,-0.09284171946023276
Austin Reaves,LAL,SG,16.2,0.441,14.0,0.9,5.6,0.8,12.6,6.8,21.4,0.441,0.264,0.405,0.86,0.184,0.016,-0.09460830479977589
Kawhi Leonard,LAC,SF,27.0,0.287,8.1,1.4,10.8,2.0,24.4,7.8,34.7,0.287,0.192,0.333,0.644,0.141,0.049,-0.09571188451736701
Miles McBride,NYK,PG,14.6,0.623,9.7,1.0,3.6,2.4,14.0,2.7,14.4,0.623,0.373,0.541,0.875,0.153,0.028,-0.10283046931921365
Bradley Beal,WAS,SG,29.2,0.249,12.9,1.7,6.5,1.3,25.6,6.6,33.8,0.249,0.201,0.401,0.713,0.197,0.016,-0.10948750671902624
Dennis Schröder,LAL,PG,18.6,0.346,12.8,0.4,4.4,1.2,15.5,6.0,19.8,0.346,0.258,0.25,0.905,0.168,0.0,-0.11024276387066931
Shai Gilgeous-Alexander,OKC,PG,32.8,0.122,10.1,2.5,7.3,2.2,27.2,14.5,42.0,0.122,0.101,0.201,0.31,0.283,0.039,-0.11246736167977665
Reggie Bullock,DAL,SF,10.0,0.845,6.9,0.5,7.0,1.1,9.9,0.8,11.8,0.845,0.491,0.854,0.98,0.077,0.002,-0.12445554375276041
Jaylen Brown,BOS,SF,31.4,0.352,11.4,0.9,10.4,1.5,28.0,7.0,36.2,0.352,0.125,0.477,0.687,0.245,0.053,-0.12562216755325473
Kira Lewis Jr.,NOP,PG,19.7,0.386,9.3,0.8,8.0,2.1,18.1,4.5,23.5,0.386,0.176,0.36,0.867,0.25,0.011,-0.13188575081720105
Ja Morant,MEM,PG,34.9,0.247,12.6,0.7,9.7,1.6,29.6,12.1,38.9,0.247,0.1,0.181,0.533,0.289,0.058,-0.13254725205285073
Xavier Moon,LAC,SG,21.8,0.333,10.0,0.0,8.4,0.0,22.0,0.0,17.1,0.333,0.333,0.0,1.0,0.0,0.0,-0.14067426425778182
JD Davison,BOS,SG,15.8,0.368,16.8,2.6,7.4,1.5,14.0,1.5,14.0,0.368,0.0,0.5,1.0,0.053,0.0,-0.1443202867144535
Wesley Matthews,MIL,SF,9.8,0.775,9.5,1.3,7.2,1.2,9.3,1.6,10.4,0.775,0.339,0.842,0.974,0.106,0.0,-0.1445990621383694
Pat Connaughton,MIL,SF,13.8,0.765,7.0,0.6,10.2,1.2,13.9,1.4,15.4,0.765,0.339,0.75,0.982,0.152,0.019,-0.15121094823572379
Ty Jerome,GSW,SG,14.9,0.372,10.3,0.5,5.3,1.3,14.0,2.4,17.9,0.372,0.233,0.41,0.857,0.095,0.0,-0.15169750271524
Corey Kispert,WAS,SF,14.1,0.656,8.1,0.4,5.5,0.7,13.6,2.0,19.1,0.656,0.224,0.766,0.982,0.179,0.029,-0.15466933344081318
Doug McDermott,SAS,SF,19.2,0.57,9.5,0.4,5.8,0.5,18.8,2.5,23.5,0.57,0.198,0.845,0.984,0.176,0.027,-0.15589984887453234
Caleb Houstan,ORL,SF,11.0,0.747,8.7,0.8,6.9,0.7,10.8,1.1,11.5,0.747,0.338,0.65,1.0,0.159,0.005,-0.15899835374196067
Davion Mitchell,SAC,PG,14.1,0.494,13.1,0.9,4.1,1.5,13.2,1.0,14.9,0.494,0.193,0.449,0.873,0.213,0.005,-0.1675806278478234
Scotty Pippen Jr.,LAL,PG,23.7,0.25,11.1,2.6,6.7,3.0,17.8,13.3,20.7,0.25,0.333,0.333,0.0,0.167,0.0,-0.1690499828398894
Malaki Branham,SAS,SG,19.1,0.417,10.6,0.4,6.4,1.0,18.6,2.1,20.5,0.417,0.208,0.495,0.922,0.149,0.02,-0.16957155451775854
Cedi Osman,CLE,SF,18.2,0.589,8.3,0.7,6.7,1.1,17.2,3.5,21.7,0.589,0.253,0.764,0.879,0.27,0.013,-0.17166294803060786
Dejounte Murray,ATL,SG,24.4,0.293,10.2,0.6,7.9,2.0,23.3,3.4,26.8,0.293,0.225,0.194,0.729,0.159,0.016,-0.17563592828720076
Killian Hayes,DET,PG,20.5,0.351,16.7,1.1,5.7,2.3,18.3,2.5,17.7,0.351,0.259,0.141,0.763,0.086,0.017,-0.17691896123273984
Derrick White,BOS,SG,17.7,0.516,10.1,2.8,6.9,1.1,15.9,4.0,21.4,0.516,0.284,0.502,0.899,0.16,0.018,-0.1786358437592732
John Wall,LAC,PG,27.0,0.322,17.1,1.4,6.8,1.8,21.9,7.3,25.0,0.322,0.101,0.143,0.939,0.213,0.012,-0.18390635394510707
Jayson Tatum,BOS,SF,32.7,0.44,10.4,1.6,13.0,1.4,27.8,11.1,39.7,0.44,0.08,0.515,0.646,0.235,0.065,-0.1847029827900313
Gary Harris,ORL,SG,12.6,0.71,8.0,1.0,4.7,1.8,12.5,1.2,16.2,0.71,0.417,0.523,0.915,0.143,0.01,-0.18683386510005323
Théo Maledon,CHO,PG,17.0,0.374,17.1,1.2,7.7,2.1,14.2,4.1,16.4,0.374,0.074,0.324,0.821,0.217,0.0,-0.19900267406460875
Anthony Edwards,MIN,SG,29.9,0.375,13.0,1.8,9.0,2.1,25.8,7.1,32.5,0.375,0.097,0.348,0.516,0.295,0.044,-0.21543941255682386
Jaden Ivey,DET,SG,25.4,0.356,17.2,0.7,6.9,1.3,20.7,7.5,25.3,0.356,0.117,0.246,0.733,0.244,0.034,-0.2197578341047457
Keon Johnson,POR,SG,25.0,0.455,18.0,1.3,6.1,2.2,20.8,4.8,22.1,0.455,0.333,0.308,0.607,0.208,0.028,-0.224106274917737
Darius Days,HOU,SF,21.4,0.833,0.0,3.9,13.2,0.0,23.3,3.9,29.1,0.833,0.5,0.5,1.0,0.167,0.0,-0.2295090674602939
Jaylen Nowell,MIN,SG,25.0,0.371,8.9,0.3,7.6,1.6,23.7,3.8,26.7,0.371,0.155,0.469,0.716,0.251,0.024,-0.22960168270396958
Svi Mykhailiuk,CHA,SF,19.3,0.572,11.2,0.7,6.1,1.5,17.7,4.0,22.7,0.572,0.354,0.543,0.833,0.208,0.029,-0.23039617772074497
R.J. Hampton,DET,SG,17.8,0.489,13.4,1.1,6.5,1.7,15.3,4.9,19.5,0.489,0.259,0.41,0.854,0.156,0.034,-0.23092070877970558
Jamaree Bouyea,,PG,11.8,0.429,21.2,2.9,4.9,2.8,9.8,1.4,10.5,0.429,0.0,0.5,0.5,0.143,0.0,-0.234154816049892
AJ Griffin,ATL,SF,17.9,0.486,7.1,0.7,6.0,1.4,18.1,1.6,21.7,0.486,0.293,0.558,0.891,0.101,0.017,-0.2399227174623301
Zach LaVine,CHI,SG,28.3,0.392,11.0,0.6,7.1,1.2,24.4,7.5,33.7,0.392,0.138,0.335,0.647,0.284,0.042,-0.24123229027551832
Ryan Arcidiacono,,PG,11.1,0.622,15.9,0.0,5.0,1.4,10.5,0.0,7.4,0.622,0.043,1.0,0.875,0.027,0.0,-0.2440221883171318
Jaden Hardy,DAL,SG,26.4,0.468,11.1,0.9,7.3,1.2,23.4,5.5,29.5,0.468,0.231,0.422,0.825,0.279,0.024,-0.24599556570581924
Devin Booker,PHO,SG,31.8,0.296,10.6,0.9,7.2,1.4,28.4,9.5,39.2,0.296,0.149,0.387,0.685,0.156,0.02,-0.24871276321832564
De'Aaron Fox,SAC,PG,30.1,0.276,10.6,0.8,7.2,1.6,26.2,8.6,35.9,0.276,0.128,0.16,0.613,0.171,0.033,-0.24882515163180138
Malik Monk,SAC,SG,25.8,0.5,14.1,1.0,6.7,1.4,22.2,5.8,29.0,0.5,0.171,0.528,0.832,0.217,0.05,-0.2619722329304207
Bryn Forbes,MIN,SG,16.2,0.554,11.8,0.7,3.1,1.2,14.7,2.7,15.8,0.554,0.261,0.813,0.857,0.06,0.0,-0.2635300170749704
Cole Anthony,ORL,PG,21.5,0.338,11.7,1.9,10.5,1.2,19.0,5.3,24.3,0.338,0.083,0.248,0.733,0.143,0.023,-0.2676424717490455
Simone Fontecchio,UTA,SF,20.2,0.612,10.5,0.9,6.1,0.9,19.5,2.7,20.5,0.612,0.225,0.731,0.952,0.106,0.042,-0.27434746573276697
Daishen Nix,HOU,PG,15.4,0.591,25.4,0.7,5.9,1.6,12.6,1.9,12.0,0.591,0.15,0.439,0.825,0.19,0.013,-0.27521207548315074
Monte Morris,WAS,PG,15.6,0.396,9.9,0.6,6.9,1.2,14.8,2.2,18.3,0.396,0.245,0.29,0.769,0.118,0.0,-0.28081762080826395
Cade Cunningham,DET,PG,30.0,0.272,13.8,1.5,10.3,1.2,27.1,5.2,29.0,0.272,0.066,0.158,0.588,0.183,0.013,-0.2859574453147206
Terrence Ross,PHX,SG,16.8,0.555,8.2,0.7,6.5,1.3,17.0,1.2,19.0,0.555,0.264,0.629,0.937,0.037,0.019,-0.29555213745109665
Joe Harris,BRK,SF,14.3,0.757,8.3,0.7,6.0,1.1,14.1,0.9,18.0,0.757,0.273,0.797,1.0,0.127,0.0,-0.30065458033994236
Donte DiVincenzo,GSW,SG,15.1,0.7,16.4,0.5,9.4,2.4,13.5,1.8,16.9,0.7,0.228,0.612,0.927,0.124,0.017,-0.3068895433744054
Jalen Brunson,NYK,PG,27.2,0.269,9.4,0.6,5.6,1.3,24.8,8.1,33.9,0.269,0.205,0.166,0.575,0.149,0.002,-0.3083229172242352
De'Anthony Melton,PHI,SG,16.4,0.619,12.9,1.8,8.6,2.9,15.0,2.0,18.0,0.619,0.246,0.483,0.879,0.186,0.011,-0.31112638374006985
Skylar Mays,POR,PG,19.3,0.382,11.9,0.5,5.8,1.5,17.5,3.3,23.7,0.382,0.154,0.227,0.75,0.265,0.0,-0.3161593172106497
Sam Hauser,BOS,SF,14.7,0.846,6.9,1.4,8.6,1.1,15.0,0.6,19.3,0.846,0.307,0.775,0.979,0.078,0.013,-0.3234599810197211
Theo Pinson,DAL,SG,14.7,0.713,11.5,0.3,11.4,0.9,13.4,2.0,14.6,0.713,0.145,0.778,0.818,0.126,0.023,-0.3298029256186824
Jose Alvarado,NOP,PG,19.8,0.505,13.4,0.7,6.1,2.5,18.1,3.0,20.3,0.505,0.287,0.381,0.94,0.186,0.0,-0.33065103030938414
Justin Jackson,BOS,SF,12.2,0.741,6.7,3.2,8.7,1.8,12.3,0.9,9.1,0.741,0.3,0.5,0.8,0.074,0.0,-0.33076885681613105
Devin Vassell,SAS,SG,24.4,0.447,8.2,1.2,6.9,1.7,23.9,4.0,28.2,0.447,0.165,0.456,0.883,0.141,0.035,-0.3312326261987661
Carlik Jones,CHI,PG,16.2,0.4,9.7,0.0,5.1,1.7,13.0,7.0,17.4,0.4,0.0,0.0,1.0,0.133,0.0,-0.3338095249248959
Patrick Baldwin Jr.,GSW,SF,22.8,0.771,9.0,1.6,9.7,1.3,22.8,1.3,25.5,0.771,0.214,0.818,1.0,0.073,0.037,-0.3402855297645722
Tyrese Maxey,PHI,SG,24.1,0.404,7.4,0.4,5.2,1.2,22.4,5.2,29.9,0.404,0.206,0.444,0.725,0.225,0.014,-0.3422183113937057
Grayson Allen,MIL,SG,14.6,0.657,10.5,0.6,6.3,1.5,13.5,3.1,18.2,0.657,0.213,0.606,0.884,0.18,0.027,-0.3439992771071006
Paul George,LAC,SF,29.5,0.424,13.4,0.9,9.9,2.1,25.4,7.4,33.7,0.424,0.134,0.322,0.614,0.145,0.042,-0.3457593060034544
Jalen Green,HOU,SG,28.1,0.408,11.3,0.7,6.0,1.1,25.3,8.6,31.4,0.408,0.128,0.351,0.572,0.202,0.046,-0.34754645872557993
Jason Preston,LAC,PG,18.3,0.439,19.3,0.0,9.9,0.8,16.2,0.8,16.2,0.439,0.222,0.308,0.6,0.122,0.0,-0.34818236289047644
Max Strus,MIA,SF,17.6,0.713,7.8,0.5,6.7,0.9,17.3,2.0,20.3,0.713,0.274,0.709,0.949,0.138,0.025,-0.351699898778099
Royce O'Neale,BRK,SF,13.6,0.707,15.5,1.7,9.0,1.3,12.0,1.4,13.6,0.707,0.15,0.394,0.975,0.155,0.01,-0.3558780487652687
Danny Green,CLE,SG,18.9,0.755,16.8,2.0,5.8,2.2,17.5,0.4,21.8,0.755,0.324,0.667,1.0,0.041,0.0,-0.36839002721082076
Lindell Wigginton,MIL,PG,25.6,0.486,22.7,1.9,4.2,0.0,20.3,4.9,27.4,0.486,0.111,0.083,1.0,0.189,0.0,-0.368837232336241
Luka Dončić,DAL,PG,37.6,0.373,11.9,1.2,13.8,1.9,30.1,14.4,44.4,0.373,0.041,0.131,0.216,0.176,0.01,-0.369226487088647
Kevin Porter Jr.,HOU,PG,24.3,0.436,15.8,0.8,8.5,2.0,21.2,6.3,27.1,0.436,0.117,0.18,0.525,0.153,0.054,-0.3764701464058263
Jared Butler,OKC,PG,20.1,0.438,13.5,0.0,2.8,3.1,19.7,0.0,22.8,0.438,0.071,0.375,0.857,0.188,0.0,-0.37713047469080496
Desmond Bane,MEM,SG,26.1,0.433,10.9,1.1,8.4,1.4,24.2,5.3,32.2,0.433,0.15,0.521,0.729,0.229,0.007,-0.3779985857823023
Matt Ryan,MIN,SF,16.5,0.778,5.8,0.3,4.6,0.8,16.5,1.8,18.7,0.778,0.345,0.75,1.0,0.046,0.0,-0.3811225256399096
Keon Ellis,SAC,SG,12.1,0.75,5.0,1.2,6.4,3.4,10.8,4.7,16.2,0.75,0.167,1.0,0.667,0.0,0.0,-0.3826515144701229
Jalen Suggs,ORL,SG,20.3,0.455,15.9,2.1,7.3,2.6,17.2,4.6,20.3,0.455,0.134,0.317,0.712,0.23,0.016,-0.3842661219212897
Goran Dragić,MIL,PG,21.1,0.433,15.1,0.4,5.2,0.7,18.7,2.5,20.4,0.433,0.186,0.393,0.904,0.185,0.0,-0.3847225163587246
Cam Thomas,BRK,SG,27.8,0.292,10.6,0.6,5.6,1.0,23.5,9.0,31.1,0.292,0.105,0.327,0.451,0.125,0.011,-0.385737447747739
Terry Rozier,CHO,SG,26.9,0.425,9.4,0.6,6.2,1.6,25.5,4.7,28.5,0.425,0.289,0.326,0.655,0.194,0.003,-0.39709760470764094
Terence Davis,SAC,SG,22.2,0.668,12.2,1.2,9.4,2.4,20.7,2.4,24.5,0.668,0.247,0.508,0.921,0.151,0.038,-0.3991497670670988
Sam Merrill,CLE,SG,17.3,0.818,0.0,0.0,9.0,3.4,18.7,1.7,21.3,0.818,0.056,1.0,1.0,0.091,0.0,-0.40500185712651754
Matthew Dellavedova,SAC,PG,12.7,0.54,15.9,0.0,3.5,1.6,11.2,1.6,10.6,0.54,0.148,0.25,0.778,0.08,0.0,-0.4064875426536911
Derrick Rose,NYK,PG,23.6,0.396,11.8,1.4,6.5,1.0,23.2,1.8,22.2,0.396,0.19,0.333,0.737,0.189,0.0,-0.4168707603526589
Buddy Boeheim,DET,SF,13.2,0.926,0.0,0.0,3.7,1.1,14.5,1.1,8.6,0.926,0.44,0.0,1.0,0.0,0.0,-0.4169311025391959
Reggie Jackson,DEN,PG,20.8,0.45,14.6,0.3,4.9,1.4,18.9,2.3,20.5,0.45,0.253,0.257,0.854,0.13,0.008,-0.41809980859081486
Donovan Mitchell,CLE,SG,32.1,0.453,10.3,1.0,7.0,2.0,28.9,7.6,39.6,0.453,0.054,0.26,0.482,0.214,0.029,-0.4355610049082662
Trae Young,ATL,PG,32.6,0.331,15.2,0.3,4.7,1.5,26.1,12.0,35.9,0.331,0.05,0.174,0.325,0.159,0.0,-0.44125379813020205
Gary Trent Jr.,TOR,SG,21.7,0.481,5.1,0.6,4.6,2.4,21.8,4.8,26.8,0.481,0.178,0.498,0.861,0.117,0.024,-0.4465776299325298
Duncan Robinson,MIA,SF,17.9,0.81,10.0,0.0,5.9,1.0,17.1,2.3,19.3,0.81,0.188,0.92,1.0,0.055,0.0,-0.44987335726040684
Jrue Holiday,MIL,PG,25.0,0.402,15.2,0.9,8.1,1.7,22.4,3.9,28.2,0.402,0.117,0.247,0.43,0.194,0.007,-0.4569492599984115
Malcolm Brogdon,BOS,PG,22.8,0.406,10.8,0.9,8.8,1.3,20.5,5.1,28.0,0.406,0.158,0.342,0.659,0.195,0.007,-0.4677811367555346
Chris Duarte,IND,SF,19.0,0.523,10.1,0.9,7.1,1.3,17.6,3.8,19.2,0.523,0.328,0.471,0.782,0.189,0.015,-0.4710768352904692
Darius Garland,CLE,PG,26.9,0.365,13.5,0.3,4.5,1.7,23.1,6.6,30.5,0.365,0.09,0.286,0.58,0.17,0.004,-0.4758406174751428
Duane Washington Jr.,PHO,SG,32.5,0.434,11.3,0.9,5.1,0.7,31.8,3.0,30.3,0.434,0.189,0.222,0.625,0.117,0.0,-0.4773032249944961
Klay Thompson,GSW,SF,26.4,0.584,8.6,1.1,6.9,1.0,25.9,2.7,31.3,0.584,0.17,0.727,0.89,0.058,0.011,-0.4826742931803817
Johnny Juzang,UTA,SG,19.6,0.606,2.8,1.1,9.1,0.8,21.4,0.8,17.9,0.606,0.27,0.55,0.867,0.058,0.0,-0.49341109557738105
Damian Lillard,POR,PG,33.8,0.547,11.7,0.8,7.6,1.2,27.8,12.9,43.1,0.547,0.058,0.157,0.516,0.235,0.012,-0.495882067987432
Gabe York,IND,SG,16.4,0.857,0.0,0.0,5.9,1.7,17.8,1.7,20.3,0.857,0.278,0.5,1.0,0.143,0.0,-0.5044843440702326
Jamal Murray,DEN,PG,26.1,0.415,11.3,0.7,6.9,1.5,23.9,5.0,29.8,0.415,0.123,0.329,0.605,0.147,0.019,-0.5077232084638739
Khris Middleton,MIL,SF,27.4,0.399,13.6,0.5,9.1,1.4,24.2,6.1,29.6,0.399,0.142,0.333,0.608,0.111,0.002,-0.5087358441256642
Marcus Smart,BOS,PG,17.8,0.568,17.9,1.0,5.3,2.3,15.0,2.9,17.5,0.568,0.196,0.274,0.852,0.143,0.008,-0.509773445862538
Tyrese Haliburton,IND,PG,23.8,0.478,13.2,1.1,6.0,2.3,21.2,5.1,29.2,0.478,0.092,0.247,0.447,0.216,0.021,-0.5155725697970217
Nickeil Alexander-Walker,MIN,SG,17.9,0.539,14.6,2.0,6.3,1.7,15.9,3.2,19.6,0.539,0.277,0.329,0.803,0.139,0.01,-0.5184361344546192
Jordan Poole,GSW,PG,29.2,0.498,14.7,0.8,5.0,1.2,24.6,8.0,32.2,0.498,0.118,0.446,0.701,0.134,0.024,-0.5236831100829025
Luke Kennard,MEM,SG,14.5,0.704,10.3,0.3,6.6,1.2,14.0,1.4,20.1,0.704,0.201,0.6,0.94,0.058,0.0,-0.5258854240645515
CJ McCollum,NOP,SG,26.4,0.404,11.2,1.4,7.0,1.3,24.6,4.4,28.7,0.404,0.107,0.303,0.758,0.109,0.004,-0.532929085145261
Jordan Clarkson,UTA,SG,27.8,0.445,14.0,0.6,6.7,0.8,24.8,5.9,30.5,0.445,0.12,0.215,0.748,0.109,0.016,-0.5407321738083886
Chris Paul,PHO,PG,19.2,0.391,13.4,1.0,7.4,2.4,17.3,4.1,21.2,0.391,0.073,0.163,0.551,0.025,0.0,-0.541832333513577
Joe Ingles,MIL,SF,12.6,0.819,17.6,0.5,6.4,1.5,11.3,1.0,14.5,0.819,0.261,0.32,0.711,0.081,0.0,-0.5449733604971372
Cory Joseph,DET,PG,15.2,0.513,12.8,0.6,4.8,1.3,13.9,2.8,16.9,0.513,0.178,0.25,0.771,0.1,0.0,-0.5451951855301806
A.J. Green,MIL,SG,16.6,0.84,6.6,0.0,6.8,0.8,17.3,0.6,21.3,0.84,0.21,0.778,0.909,0.04,0.0,-0.5486683010579368
Tim Hardaway Jr.,DAL,SF,20.6,0.649,6.1,0.5,6.8,1.1,19.6,3.8,23.5,0.649,0.271,0.641,0.896,0.109,0.014,-0.5513094157504388
Coby White,CHI,SG,17.9,0.579,10.6,0.3,6.9,1.5,16.7,2.0,20.1,0.579,0.148,0.348,0.961,0.2,0.008,-0.5572645050550554
Kevin Huerter,SAC,SG,19.9,0.589,9.5,1.0,6.5,1.7,18.8,2.8,24.8,0.589,0.155,0.665,0.893,0.137,0.016,-0.5578605127177128
TyTy Washington Jr.,HOU,PG,17.4,0.5,7.7,0.5,5.7,1.7,17.9,2.0,16.2,0.5,0.238,0.436,0.789,0.056,0.0,-0.5607888512549566
LaMelo Ball,CHO,PG,30.0,0.531,14.3,0.8,9.7,1.7,27.1,4.6,31.5,0.531,0.136,0.25,0.653,0.169,0.004,-0.5662914147411429
Jevon Carter,MIL,PG,15.3,0.596,11.8,1.3,5.8,1.7,14.9,1.0,17.2,0.596,0.231,0.34,0.789,0.092,0.004,-0.56740211828233
Tyus Jones,MEM,PG,17.7,0.459,8.9,0.3,5.5,2.0,17.4,2.4,20.1,0.459,0.202,0.284,0.793,0.085,0.0,-0.5713802906739802
Garrison Mathews,ATL,SG,14.7,0.896,7.8,0.7,5.8,1.7,14.2,3.7,18.1,0.896,0.228,0.5,0.952,0.045,0.01,-0.5714882150299356
James Harden,PHI,PG,25.0,0.496,16.3,1.4,9.8,1.6,19.5,8.4,28.2,0.496,0.05,0.129,0.416,0.165,0.001,-0.5749627932933157
Isaiah Joe,OKC,SG,17.7,0.776,6.6,0.5,6.7,1.6,17.3,3.4,23.5,0.776,0.132,0.714,0.95,0.067,0.016,-0.580340336083773
Gabe Vincent,MIA,PG,17.5,0.617,13.3,0.3,4.8,1.8,16.1,2.2,18.2,0.617,0.323,0.432,0.735,0.093,0.002,-0.5847610450287385
