Player,Tm,Pos,USG%,3PAr,TOV%,BLK%,TRB%,STL%,FGA,FTA,PTS,PCT_FG_3P,CORNER_PCT_3PA,PCT_AST_2P,PCT_AST_3P,PCT_FG_0-3,DUNK_%FGA,Similarity
Frank Jackson,UTA,PG,25.1,0.333,0.0,0.0,21.6,0.0,28.7,0.0,0.0,0.333,0.0,,,0.0,0.0,
Trevor Keels,NYK,SG,21.4,1.0,0.0,0.0,13.7,0.0,24.7,0.0,18.5,1.0,0.0,,1.0,0.0,0.0,
Braxton Key,DET,SF,8.9,0.0,0.0,0.0,6.2,0.0,5.4,10.8,21.5,0.0,,1.0,,0.0,0.0,
Chima Moneke,SAC,SF,26.2,0.0,41.0,0.0,14.3,0.0,12.0,12.0,12.0,0.0,,1.0,,1.0,0.0,
Lester Quinones,GSW,SG,29.4,0.8,39.6,0.0,9.2,2.6,13.1,15.7,26.2,0.8,0.25,,0.5,0.0,0.0,
Jordan Schakel,WAS,SF,14.5,0.5,0.0,0.0,0.0,8.1,16.2,0.0,24.4,0.5,0.0,,1.0,0.0,0.0,
Dereon Seabron,NOP,SG,17.9,0.0,0.0,0.0,4.7,0.0,20.2,0.0,16.2,0.0,,0.5,,0.4,0.2,
Ben Simmons,BRK,PG,14.3,0.009,27.2,1.9,13.4,2.4,10.4,2.5,12.9,0.009,0.0,0.617,,0.43,0.157,
Kobi Simmons,CHO,SG,11.8,0.833,12.7,6.2,7.6,0.0,10.2,3.4,8.5,0.833,0.0,,1.0,0.167,0.0,
Cole Swider,LAL,SF,9.3,0.889,0.0,0.0,9.1,0.0,10.4,0.0,10.4,0.889,0.25,,1.0,0.0,0.0,
Stanley Umude,DET,SG,40.0,1.0,0.0,44.1,0.0,24.2,24.2,48.5,48.5,1.0,1.0,,,0.0,0.0,
Joe Wieskamp,TOR,SF,12.8,0.857,6.7,0.0,4.5,0.0,13.8,0.0,8.9,0.857,0.583,,1.0,0.143,0.0,
Alondes Williams,BRK,SG,17.7,,100.0,0.0,11.2,0.0,0.0,0.0,0.0,,,,,,,
Donovan Williams,ATL,SG,52.5,0.4,0.0,0.0,27.4,0.0,59.6,0.0,47.7,0.4,0.5,0.5,,0.2,0.0,
